,samplecode,samplename
0,LP207930,Ericales_Theaceae_Pyrenaria_hirta
1,LP207932,Ericales_Theaceae_Polyspora_speciosa
2,DG026,Ericales_Theaceae_Franklinia_alatamaha
3,SAS60,Ericales_Theaceae_Gordonia_lasianthus
4,SAS32,Ericales_Theaceae_Stewartia_pseudocamellia
5,LP207926,Ericales_Sladeniaceae_Sladenia_celastrifolia
6,DG007,Caryophyllales_Polygonaceae_Pterostegia_drymarioides
7,GJBN01,Ericales_Balsaminaceae_Impatiens_bicornuta
8,GJBY01,Ericales_Balsaminaceae_Impatiens_scabrida
9,GJBO01,Ericales_Balsaminaceae_Impatiens_devendrae
10,GJBR01,Ericales_Balsaminaceae_Impatiens_racemosa
11,GJBP01,Ericales_Balsaminaceae_Impatiens_falcifer
12,GJBZ01,Ericales_Balsaminaceae_Impatiens_scullyi
13,DG008,Ericales_Marcgraviaceae_Marcgravia_rectiflora
14,GHLO01,Ericales_Lecythidaceae_Eschweilera_coriacea
15,GHLP01,Ericales_Lecythidaceae_Eschweilera_coriacea
16,LP207924,Ericales_Lecythidaceae_Barringtonia_racemosa
17,SAS57,Ericales_Ebenaceae_Diospyros_virginiana
18,LP207984,Ericales_Primulaceae_Primula_cicutariifolia
19,SAS31,Ericales_Primulaceae_Primula_meadia
20,LP207971,Ericales_Primulaceae_Androsace_umbellata
21,LP208062,Ericales_Primulaceae_Stimpsonia_chamaedryoides
22,LP208066,Ericales_Primulaceae_Lysimachia_fukienensis
23,SAS53,Ericales_Primulaceae_Myrsine_floridana
24,LP207988,Ericales_Primulaceae_Rapanea_neriifolia__Myrsine_seguinii
25,DG024,Ericales_Primulaceae_Bonellia_frutescens
26,SAS59,Ericales_Primulaceae_Clavija_harlingli
27,LP207986,Ericales_Primulaceae_Samolus_valerandi
28,DAL218,Ericales_Polemoniaceae_Ipomopsis_aggregata
29,DG015,Ericales_Polemoniaceae_Eriastrum_densiflorum
30,DG023,Ericales_Polemoniaceae_Loeseliastrum_schottii
31,DG022,Ericales_Polemoniaceae_Giliastrum_incisum
32,DG012,Ericales_Polemoniaceae_Aliciella_latifolia
33,DG016,Ericales_Polemoniaceae_Gilia_angelensis
34,DG020,Ericales_Polemoniaceae_Polemonium_caeruleum_subsp_vilosum
35,DG017,Ericales_Polemoniaceae_Leptosiphon_aureus
36,DG019,Ericales_Polemoniaceae_Microsteris_gracilis
37,DG018,Ericales_Polemoniaceae_Linanthus_californicus
38,DG011,Ericales_Polemoniaceae_Acanthogilia_gloriosa
39,DG013,Ericales_Polemoniaceae_Cantua_caerulea
40,LP207928,Ericales_Pentaphylacaceae_Anneslea_fragrans
41,LP207929,Ericales_Pentaphylacaceae_Adinandra_millettii
42,LP207927,Ericales_Pentaphylacaceae_Pentaphylax_euryoides
43,SAS55,Ericales_Sapotaceae_Manilkara_sapota
44,SAS29,Ericales_Sapotaceae_Argania_spinosa
45,SAS30,Ericales_Sapotaceae_Niemeyera_whitei
46,LP207985,Ericales_Sapotaceae_Pouteria_campechiana
47,LP207933,Ericales_Styracaceae_Melliodendron_xylocarpum
48,LP207934,Ericales_Styracaceae_Rehderodendron_macrocarpum
49,LP207936,Ericales_Styracaceae_Pterostyrax_psilophyllus
50,SAS52,Ericales_Styracaceae_Halesia_diptera
51,LP207990,Ericales_Styracaceae_Styrax_obassis
52,SAS58,Ericales_Styracaceae_Stryrax_alnaicanus
53,LP207992,Ericales_Sarraceniaceae_Heliamphora_tatei
54,SAS33,Ericales_Sarraceniaceae_Sarracenia_rubra_subsp_gulfensis
55,SAS54,Ericales_Sarraceniaceae_Saracennia_leucophyla
56,DAL227,Ericales_Sarraceniaceae_Darlingtonia_californica
57,SAS56,Ericales_Clethraceae_Clethra_accuminata
58,LP207993,Ericales_Ericaceae_Arbutus_unedo
59,LP208023,Ericales_Ericaceae_Pyrola_decorata
60,LP207994,Ericales_Ericaceae_Cassiope_fastigiata
61,LP207941,Ericales_Ericaceae_Pieris_japonica
62,DG006,Ericales_Ericaceae_Oxydendrum_arboreum
63,DAL224,Ericales_Ericaceae_Leucothoe_davisiae
64,LP207995,Ericales_Ericaceae_Gaultheria_nummularioides
65,LP207996,Ericales_Ericaceae_Agapetes_forrestii
66,DAL212,Ericales_Ericaceae_Vaccinium_coccineum
