,samplecode
0,JQ757046
1,KF156836
2,OL450428
3,NC_024663
4,MN078090
5,NC_037472
6,NC_041473
8,LP208122
13,KX904873
14,NC_036052
15,NC_031376
16,NC_014697
18,NC_036306
19,NC_059012
21,NC_007898
22,NC_041602
23,NC_048520
24,NC_059942
31,PL008455
33,MF359935
34,MF359937
37,MF359943
38,MF359952
39,NC_035705
41,NC_030786
42,NC_030789
44,NC_031428
50,LP208196
51,LP208242
52,LP208155
55,PL008734
71,NC_035709
74,PL008867
76,LP208112
77,PL008615
78,LP208119
81,LP208116
84,LP208123
85,LP208118
86,LP208074
91,PL008713
92,LP208124
95,PL008549
96,PL008755
97,PL008847
103,NC_026690
104,NC_026691
105,NC_039973
106,NC_034914
107,LP208143
108,KU878156
109,LP208348
110,LP208349
112,ZSTU04567
113,LP208288
115,LP208326
116,MN711645
117,MZ073672
118,NC_053764
119,LP208091
120,LP208330
121,LP208360
123,LP208352
124,LP208353
127,LP208286
128,PL008850
131,LP208327
134,NC_019616
